Date,Open_Bitcoin,High_Bitcoin,Low_Bitcoin,Close_Bitcoin,Adj Close_Bitcoin,Volume_Bitcoin,Open_Gold,High_Gold,Low_Gold,Close_Gold,Adj Close_Gold,Volume_Gold,Open_dollar,High_dollar,Low_dollar,Close_dollar,Adj Close_dollar,Volume_dollar,Open_sap500,High_sap500,Low_sap500,Close_sap500,Adj Close_sap500,Volume_sap500,Open_Litcoin,High_Litcoin,Low_Litcoin,Close_Litcoin,Adj Close_Litcoin,Volume_Litcoin,Open_Etherium,High_Etherium,Low_Etherium,Close_Etherium,Adj Close_Etherium,Volume_Etherium
2016-05-03,444.72699000000006,451.09698499999996,442.617004,450.303986,450.303986,59366400.0,1292.699951,1301.5,1284.5,1290.699951,1290.699951,151.0,92.599998,92.989998,91.91999799999999,92.940002,92.940002,0.0,2077.18,2077.18,2054.89,2063.37,2063.37,4173390000,3.6821099999999998,3.7587599999999997,3.6623900000000003,3.74091,3.74091,2363200.0,10.1651,10.1651,9.2798,9.31127,9.31127,21463900.0
2016-05-04,450.18301399999996,450.377991,445.630005,446.72198499999996,446.72198499999996,50407300.0,1286.900024,1290.0,1273.0,1273.300049,1273.300049,109.0,92.980003,93.360001,92.849998,93.18,93.18,0.0,2060.3,2060.3,2045.55,2051.12,2051.12,4058560000,3.7418400000000003,3.77976,3.7311199999999998,3.7467900000000003,3.7467900000000003,1716110.0,9.38287,10.0341,9.26752,9.41377,9.41377,17622400.0
2016-05-05,446.710999,448.506012,445.882996,447.97601299999997,447.97601299999997,50440800.0,1282.900024,1286.0,1270.800049,1271.400024,1271.400024,330.0,93.220001,93.860001,93.16999799999999,93.779999,93.779999,0.0,2052.95,2060.23,2045.77,2050.63,2050.63,4008530000,3.7418099999999996,3.76402,3.7068800000000004,3.71385,3.71385,1702120.0,9.39673,10.046,9.292119999999999,9.8261,9.8261,18296200.0
2016-05-06,447.94198600000004,461.375,447.06799299999994,459.60299699999996,459.60299699999996,72796800.0,1278.599976,1295.599976,1276.900024,1292.900024,1292.900024,305.0,93.739998,93.959999,93.279999,93.889999,93.889999,0.0,2047.77,2057.72,2039.45,2057.14,2057.14,3796350000,3.71613,3.82211,3.706,3.82211,3.82211,1899060.0,9.809610000000001,9.95219,9.03701,9.346639999999999,9.346639999999999,21510600.0
2016-05-09,458.20599400000003,462.48098799999997,456.53100599999993,460.48300199999994,460.48300199999994,55493100.0,1286.5,1286.5,1262.300049,1265.599976,1265.599976,341.0,93.83000200000001,94.199997,93.800003,94.150002,94.150002,0.0,2057.55,2064.15,2054.31,2058.69,2058.69,3788620000,3.9376300000000004,4.08338,3.8986300000000003,4.056430000000001,4.056430000000001,3120940.0,9.49404,9.641160000000001,9.2037,9.29773,9.29773,13085300.0
2016-05-10,460.51800499999996,461.928986,448.95401,450.89498899999995,450.89498899999995,58956100.0,1265.099976,1267.400024,1258.699951,1263.900024,1263.900024,23.0,94.129997,94.360001,94.029999,94.290001,94.290001,0.0,2062.63,2084.87,2062.63,2084.39,2084.39,3600200000,4.05797,4.11563,3.7983800000000003,3.81915,3.81915,3688200.0,9.28265,9.47902,9.26136,9.36152,9.36152,9321790.0
2016-05-11,450.86401399999994,454.575989,450.86401399999994,452.72799699999996,452.72799699999996,50605200.0,1266.900024,1279.199951,1266.900024,1274.599976,1274.599976,50.0,94.260002,94.260002,93.68,93.82,93.82,0.0,2083.29,2083.29,2064.46,2064.46,2064.46,3821980000,3.8203300000000002,3.9137699999999995,3.8144400000000003,3.8822699999999997,3.8822699999999997,2458140.0,9.43143,10.0119,9.38926,9.99628,9.99628,15267500.0
2016-05-12,452.446991,454.949005,449.25,454.76599100000004,454.76599100000004,59849300.0,1267.0,1281.199951,1264.0,1270.300049,1270.300049,101.0,93.849998,94.190002,93.800003,94.139999,94.139999,0.0,2067.17,2073.99,2053.13,2064.11,2064.11,3782390000,3.8813400000000002,3.8967199999999997,3.79635,3.8568,3.8568,1798920.0,9.99511,10.5063,9.85641,10.0578,10.0578,24137700.0
2016-05-13,454.85000599999995,457.05499299999997,453.453003,455.670013,455.670013,60845000.0,1271.400024,1275.699951,1264.599976,1271.900024,1271.900024,66.0,94.129997,94.849998,94.120003,94.610001,94.610001,0.0,2062.5,2066.79,2043.13,2046.61,2046.61,3579880000,3.8552699999999995,3.96167,3.82879,3.9256800000000003,3.9256800000000003,2624100.0,10.0623,11.0528,10.0184,10.5066,10.5066,31276900.0
2016-05-16,457.585999,458.200012,452.94500700000003,454.162994,454.162994,59171500.0,1272.800049,1287.800049,1272.800049,1273.400024,1273.400024,44.0,94.57,94.68,94.400002,94.57,94.57,0.0,2046.53,2071.88,2046.53,2066.66,2066.66,3501360000,4.06308,4.16277,3.97969,4.006530000000001,4.006530000000001,3632510.0,9.9687,11.4403,9.9687,11.1713,11.1713,29079900.0
